mesh_code,daytime_population
533936501,1324
533936502,2913
533936503,1390
533936504,136
533936512,3610
533936521,11511
533936522,612
533936523,2064
533936524,1090
533936531,141
533936532,618
533936533,10824
533936534,371
533936541,6
533936554,348
533936561,59
533936562,434
533936563,164
533936564,132
533936573,130
533936592,790
533936594,901
533936601,885
533936602,1
533936603,6046
533936604,5339
533936621,1085
533936622,2327
533936623,224
533936631,272
533936632,2587
533936633,1802
533936634,1262
533936641,3609
533936643,3586
533936644,100
533936652,1070
533936654,2641
533936661,295
533936662,1568
533936663,1218
533936664,1476
533936671,4
533936673,345
533936684,211
533936701,10582
533936702,2844
533936703,23609
533936704,6720
533936714,176
533936721,3749
533936722,2852
533936724,43
533936731,1411
533936732,757
533936733,484
533936734,3389
533936741,1758
533936742,860
533936743,2091
533936744,683
533936751,1255
533936752,1901
533936753,726
533936754,31
533936761,8147
533936762,1759
533936763,582
533936764,1286
533936771,514
533936773,179
533936781,188
533936782,337
533936783,166
533936784,1370
533936791,806
533936792,1344
533936793,2858
533936794,2420
533936801,25640
533936802,21194
533936803,39528
533936804,30278
533936811,124
533936812,1753
533936813,3305
533936814,2894
533936821,2376
533936822,35
533936823,2731
533936824,23050
533936831,122
533936832,13233
533936833,2329
533936834,46052
533936841,561
533936842,1225
533936843,1407
533936844,1076
533936851,369
533936852,8
533936853,1766
533936854,1885
533936861,7
533936862,58
533936863,646
533936864,104
533936871,26
533936873,44
533936881,1230
533936882,246
533936883,421
533936884,693
533936891,792
533936892,1079
533936893,864
533936894,933
533936901,31137
533936902,13528
533936903,34887
533936904,56997
533936911,1885
533936912,4623
533936913,26302
533936914,9226
533936921,6734
533936922,2135
533936923,6313
533936924,3302
533936931,9711
533936932,1300
533936933,51
533936934,3516
533936941,1031
533936942,1686
533936943,5127
533936944,968
533936951,2444
533936952,2085
533936953,2736
533936954,1423
533936961,3251
533936962,14
533936963,974
533936964,3916
533936973,1687
533936981,473
533936982,1561
533936983,738
533936984,7819
533936991,1291
533936992,2756
533936993,1563
533936994,5500
533937412,289
533937414,1479
533937421,28
533937423,448
533937501,1227
533937502,818
533937504,22502
533937511,565
533937512,1464
533937513,217
533937514,532
533937521,647
533937522,1224
533937523,727
533937524,1049
533937531,147
533937533,592
533937534,346
533937601,2605
533937602,2886
533937603,73
533937604,435
533937611,691
533937612,713
533937613,156
533937614,180
533937621,932
533937622,608
533937623,667
533937624,371
533937631,548
533937632,226
533937633,665
533937634,423
533937641,202
533937642,126
533937643,905
533937644,242
533937701,359
533937702,653
533937703,809
533937704,175
533937711,426
533937712,354
533937713,1337
533937714,472
533937721,800
533937722,419
533937723,369
533937724,2975
533937731,203
533937732,1436
533937733,5932
533937734,1449
533937741,156
533937742,6
533937743,104
533937744,1
533937801,655
533937802,2099
533937803,536
533937804,399
533937811,708
533937812,888
533937813,476
533937814,817
533937821,2212
533937822,441
533937823,1044
533937824,88
533937831,1331
533937832,195
533937833,520
533937834,14
533937901,2288
533937902,395
533937903,1340
533937904,746
533937911,403
533937912,804
533937913,3472
533937914,2750
533937921,1114
533937922,178
533937923,955
533937924,190
533937931,380
533937932,380
533937933,283
533937934,693
533937943,1178
533944032,375
533944034,255
533944041,245
533944042,562
533944043,325
533944044,567
533944051,350
533944052,525
533944053,505
533944054,801
533944061,802
533944062,411
533944063,291
533944064,688
533944071,582
533944072,2496
533944073,590
533944074,1134
533944081,4337
533944082,1158
533944083,1065
533944084,1020
533944091,3204
533944092,1558
533944093,2192
533944094,678
533944132,314
533944134,611
533944141,559
533944142,77
533944143,1877
533944144,2228
533944151,4950
533944152,675
533944153,1219
533944154,805
533944161,384
533944162,182
533944163,777
533944164,581
533944171,680
533944172,454
533944173,432
533944174,1709
533944181,393
533944182,256
533944183,214
533944184,1430
533944191,1817
533944192,413
533944193,735
533944194,480
533944232,697
533944234,556
533944241,673
533944242,2055
533944243,767
533944244,584
533944251,3335
533944252,1191
533944253,2321
533944254,2214
533944261,548
533944262,376
533944263,827
533944264,275
533944271,554
533944272,884
533944273,350
533944274,983
533944281,471
533944282,742
533944283,714
533944284,969
533944291,1507
533944292,1546
533944293,3377
533944294,590
533944332,624
533944334,2841
533944341,712
533944342,1249
533944343,307
533944344,4016
533944351,881
533944352,581
533944353,1154
533944354,279
533944361,429
533944362,275
533944363,274
533944364,742
533944371,766
533944372,482
533944373,1048
533944374,1167
533944381,917
533944382,1040
533944383,395
533944384,385
533944391,661
533944392,366
533944393,479
533944394,337
533944432,5338
533944434,572
533944441,942
533944442,7193
533944443,219
533944444,10536
533944451,2043
533944452,863
533944453,4988
533944454,1105
533944461,13009
533944462,4859
533944463,11845
533944464,3805
533944471,437
533944472,2628
